MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal,Rooms_Per_Occupant,Bedrooms_Per_Room,Distance_to_LA,Distance_to_SF,Closest_City_Distance
8.3252,41.0,6.984126984126984,1.0238095238095235,322.0,2.5555555555555554,37.88,-122.23,4.526,2.7329192546583854,0.14659090909090905,5.530732320407498,0.21954498400099923,0.21954498400099923
8.3014,21.0,6.238137082601054,0.9718804920913884,2401.0,2.109841827768014,37.86,-122.22,3.585,2.9566847147022073,0.15579659106916469,5.509673311549428,0.21931712199461417,0.21931712199461417
7.2574,52.0,8.288135593220339,1.073446327683616,496.0,2.8022598870056497,37.85,-122.24,3.521,2.957661290322581,0.12951601908657123,5.517245689653492,0.19697715603592764,0.19697715603592764
5.6431,52.0,5.8173515981735155,1.0730593607305936,558.0,2.547945205479452,37.85,-122.25,3.413,2.283154121863799,0.18445839874411304,5.524499977373525,0.18788294228056018,0.18788294228056018
3.8462,52.0,6.281853281853282,1.0810810810810811,565.0,2.1814671814671813,37.85,-122.25,3.422,2.879646017699115,0.17209588199139522,5.524499977373525,0.18788294228056018,0.18788294228056018
4.0368,52.0,4.761658031088083,1.1036269430051813,413.0,2.139896373056995,37.85,-122.25,2.697,2.225181598062954,0.23177366702937974,5.524499977373525,0.18788294228056018,0.18788294228056018
3.6591,52.0,4.9319066147859925,0.95136186770428,1094.0,2.1284046692607004,37.84,-122.25,2.992,2.317184643510055,0.19289940828402363,5.517626301227738,0.18384776310850404,0.18384776310850404
3.12,52.0,4.797527047913447,1.061823802163833,1157.0,1.7882534775888717,37.84,-122.25,2.414,2.6828003457216942,0.22132731958762886,5.517626301227738,0.18384776310850404,0.18384776310850404
2.0804,42.0,4.294117647058823,1.1176470588235294,1206.0,2.026890756302521,37.84,-122.26,2.267,2.1185737976782755,0.26027397260273977,5.52489818910721,0.1746424919657268,0.1746424919657268
3.6912,52.0,4.970588235294118,0.9901960784313726,1551.0,2.172268907563025,37.84,-122.25,2.611,2.288201160541586,0.1992110453648915,5.517626301227738,0.18384776310850404,0.18384776310850404
3.2031,52.0,5.477611940298507,1.079601990049751,910.0,2.263681592039801,37.85,-122.26,2.815,2.4197802197802196,0.19709355131698456,5.531762829333893,0.17888543819997935,0.17888543819997935
3.2705,52.0,4.772479564032698,1.0245231607629428,1504.0,2.0490463215258856,37.85,-122.26,2.418,2.3291223404255317,0.2146731373108764,5.531762829333893,0.17888543819997935,0.17888543819997935
3.075,52.0,5.322649572649572,1.0128205128205128,1098.0,2.3461538461538463,37.85,-122.26,2.135,2.268670309653916,0.1902850260939382,5.531762829333893,0.17888543819997935,0.17888543819997935
2.6736,52.0,4.0,1.0977011494252873,345.0,1.9827586206896552,37.84,-122.26,1.913,2.017391304347826,0.2744252873563218,5.52489818910721,0.1746424919657268,0.1746424919657268
1.9167,52.0,4.262903225806451,1.0096774193548388,1212.0,1.9548387096774191,37.85,-122.26,1.592,2.1806930693069306,0.2368520620507,5.531762829333893,0.17888543819997935,0.17888543819997935
